site,elevation,sps1,sps2,pair,type,origin.sps1,origin.sps2,origin.pair,bootstrap,lambda.sps.1,lambda.sps.2,lambda1,lambda2,igr11,igr22,igr12,igr21,sensitivity.12,sensitivity.21,outcome.igr,winner.igr,superior.igr,nd,fd,fd.highlow,fd.fastslow,coexistence.metric,outcome.ndfd,winner.ndfd,superior.ndfd,origin.superior,superior.lambda.sps,superior.fast.sps,superior.lambda,superior.fast,comment
Anzeindaz,1900,Anal,Trba,Anal_Trba,current,Highland,Highland,Highland-highland,0,8.398960405,0.956278857,6.194974417,2.620317187,0.620792712,0.453455804,2.541367001,1.826893446,0.488576797,0.374421418,Coexistence,sps1_sps2,sps2,0.572292603,0.875414877,0.875414877,0.875414877,2.046761134,Coexistence,sp1_sps2,sps2,Highland,sps1,no,sps1,no,NA
Anzeindaz,1900,Anal,Poal,Anal_Poal,current,Highland,Highland,Highland-highland,0,8.398960405,5.708329314,6.194974417,8.155280318,0.620792712,2.538397063,3.535830023,4.591258273,0.307494933,0.273750847,Coexistence,sps1_sps2,sps2,0.709867274,0.943536607,0.943536607,0.943536607,3.25208611,Coexistence,sp1_sps2,sps2,Highland,sps1,no,sps2,yes,NA
Les Posses,890,Anal,Trba,Anal_Trba,current,Highland,Highland,Highland-highland,0,8.398960405,0.956278857,9.168966838,0.072906934,2.021894456,NA,NA,0.186845084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Les Posses,890,Anal,Poal,Anal_Poal,current,Highland,Highland,Highland-highland,0,8.398960405,5.708329314,9.168966838,5.642387468,2.021894456,1.446602231,9.460982146,2.451440756,0.1,0.481782269,Coexistence,sps1_sps2,sps1,0.780504608,2.194953915,2.194953915,2.194953915,2.075626407,Coexistence,sp1_sps2,sps1,Highland,sps1,yes,sps1,yes,NA
Solalex,1400,Anal,Trba,Anal_Trba,current,Highland,Highland,Highland-highland,0,8.398960405,0.956278857,9.832939961,0.17561245,0.858364898,0.041940357,5.056809904,0.335167307,0.290935421,0.1,Competitive exclusion,sps1,sps2,0.829431708,0.586275439,0.586275439,0.586275439,3.437188898,Coexistence,sp1_sps2,sps2,Highland,sps1,no,sps1,no,NA
Solalex,1400,Anal,Poal,Anal_Poal,current,Highland,Highland,Highland-highland,0,8.398960405,5.708329314,9.832939961,3.327320156,0.858364898,1.0660508,3.938909529,2.57095371,0.400235752,0.214521153,Coexistence,sps1_sps2,sps2,0.706982876,0.732111319,0.732111319,0.732111319,2.498527421,Coexistence,sp1_sps2,sps2,Highland,sps1,no,sps1,no,NA
Anzeindaz,1900,Armo,Asal,Armo_Asal,current,Highland,Highland,Highland-highland,0,0.440140206,4.045868178,0.707345282,4.157755819,NA,0.916402619,0.530606051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anzeindaz,1900,Armo,Plal,Armo_Plal,current,Highland,Highland,Highland-highland,0,0.440140206,4.519683281,0.707345282,3.962642367,NA,1.114190226,0.580566862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anzeindaz,1900,Armo,Poal,Armo_Poal,current,Highland,Highland,Highland-highland,0,0.440140206,5.708329314,0.707345282,8.155280318,NA,2.538397063,0.491404834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anzeindaz,1900,Armo,Seca,Armo_Seca,current,Highland,Highland,Highland-highland,0,0.440140206,1.058626461,0.707345282,1.247450077,NA,0.740912385,0.534673337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
